Patsy Doyle ,47
Poll's ,47
Rose A Moon ,47
Sadie Sherman ,47
Simpson A Dean ,47
Tossing Austins ,47
Ward Bell A Ward ,47
unting ,47
! ,46
"""Fashion Show"" ",46
"""I Died"" ",46
(Open Sunday Mat) ,46
3d half ,46
4 Casters ,46
4 Marx Bros ,46
Alexander Kids ,46
Cavana Duo ,46
Cross A Josephine ,46
Dena Cooper Co ,46
Edwards Bros ,46
Fagg A White ,46
Grace De Winters ,46
Harry Mason Co ,46
Helen Page Co ,46
Howard A Sadler ,46
Hunting A Francis ,46
Jas Thompson Co ,46
Joe Kelsey ,46
Jos K Watson ,46
Juliet ,46
Lamb's Manikins ,46
M Montgomery ,46
Mang A Snyder ,46
Mary Gray ,46
Mayo A Tally ,46
Rawson A Clare ,46
Salon Singers ,46
Shirley Sisters ,46
"Single copies, ",46
Sundays ,46
Tennessee Ten ,46
The Parshleys ,46
Toots Paka Co ,46
"""Miss America"" ",45
"""Song Revue"" ",45
(Knoxvllle split) ,45
(Loew) ,45
(losw) ,45
3 Mori Bros ,45
Arthur Lloyd ,45
Arthur Whltelaw ,45
Barry A Wolford ,45
Benny A Woods ,45
Bert Swor ,45
Claudius A Scarlet ,45
Daniels A Conrad ,45
Dorothy Burton Co ,45
Geo Randall Co ,45
Harry Hlnes ,45
Harry Thomson ,45
June Mills Co ,45
Kerr A Weston ,45
King Thornton Co ,45
Lee A Cranston ,45
Lew Welch Co ,45
Macart A Bradford ,45
Manufacturer ,45
Nadje ,45
Onalp ,45
Ottawa ,45
Paatages ,45
Santley A Norton ,45
Stelner Trio ,45
Tom Davles Co ,45
Whitney's Dolls ,45
ialty. All work ,45
with ,45
•,45
"""New Producer"" ",44
"""On the Veranda"" ",44
A Co ,44
Adele Oswald ,44
Adroit Bros ,44
Aerial Bartletts ,44
Ahearn Troupe ,44
"Albany, N. Y. ",44
Art Adair ,44
Betty Bond ,44
Bob Tip Co ,44
By ,44
Creo ,44
Delro ,44
Dollar Troupe ,44
Eva Prout ,44
Fitch Cooper ,44
Francis Renault ,44
Fred Rogers ,44
Girl from Milwaukee ,44
Gliding O'Mearas ,44
Guerro A Carmen ,44
Harry Sterling ,44
Helen Vincent ,44
Hilda Hawthorne ,44
Julia Edwards ,44
Kathleen Clifford ,44
Kitty Flynn ,44
Mack A Orth ,44
Mack A Williams ,44
Madge Maltland ,44
Marlon Harris ,44
Morris A Beasley ,44
Newhoff A Phelps ,44
Orpheam ,44
P George ,44
Portland. Ore. ,44
Primrose Four ,44
Sd half ,44
Sisters ,44
The Flemings ,44
Thomas A Hall ,44
Webb A Burns ,44
ft Co ,44
(Others to flll) ,43
(orpb) ,43
2 Carltons ,43
3 Vagrants ,43
8. ,43
Abbott A White ,43
Amoros Sisters ,43
Bill Robinson ,43
Billy Rogers ,43
Carter ,43
Clara Morton ,43
Creasy A Dayne ,43
